Time,A,Angry,Blink,Blink_L,Blink_R,E,Fun,I,Joy,LookDown,LookLeft,LookRight,LookUp,Neutral,O,Sorrow,Surprised,U
0.075284,0.04908395,0,0,0,0,0.003242894,0,0,0,0,0,0,0,1,0,0,0,3.178808E-05
0.1805892,0.3610014,0,0,0,0,0.01401357,0,0,0,0,0,0,0,1,0,0,0,1.350395E-05
0.2835708,0.560819,0,0,0,0,0.009422174,0,0,0,0,0,0,0,1,0,0,0,7.10677E-05
0.3987784,0.6862379,0,0,0,0,0.004001919,0,0,0,0,0,0,0,1,0,0,0,0.0009352095
0.514544,0.7065654,0,0,0,0,0.003712461,0,0,0,0,0,0,0,1,0,0,0,0.0003541712
0.6132159,0.6863096,0,0,0,0,0.01122373,0,0,0,0,0,0,0,1,0,0,0,0.0001798496
0.7166867,0.6575303,0,0,0,0,0.03121818,0,0,0,0,0,0,0,1,0,0,0,7.429481E-05
0.8309999,0.3047068,0,0,0,0,0.01619386,0,0.4052927,0,0,0,0,0,1,0.1054593,0,0,2.876168E-05
0.9439111,0.3096684,0,0,0,0,0.00637353,0,0.3412984,0,0,0,0,0,1,0.2687445,0,0,1.131994E-05
1.057429,0.05511433,0,0,0,0,6.872555E-06,0,0.06074379,0,0,0,0,0,1,0.8697701,0,0,1.888925E-08
1.169942,0.009809167,0,0,0,0,1.223167E-06,0,0.01081109,0,0,0,0,0,1,0.9767396,0,0,3.361881E-09
1.287797,0.3454458,0,0,0,0,0.002520724,0,0.03942414,0,0,0,0,0,1,0.1738387,0,0,4.47702E-06
1.393551,0.06148192,0,0,0,0,0.001366383,0,0.6646339,0,0,0,0,0,1,0.03093955,0,0,2.426813E-06
1.505383,0.08015633,0,0,0,0,0.0005891403,0,0.6928511,0,0,0,0,0,1,0.005506575,0,0,1.046364E-06
1.612656,0.2958567,0,0,0,0,1.227315E-09,0,0.6358767,0,0,0,0,0,1,0.0009800522,0,0,3.373283E-12
1.717083,0.4371007,0,0,0,0,2.184358E-10,0,0.4631724,0,0,0,0,0,1,0.0001744282,0,0,6.003718E-13
1.824002,0.3066031,0,0,0,0,3.887687E-11,0,0.6637824,0,0,0,0,0,1,3.104447E-05,0,0,1.068533E-13
1.930234,0.4168002,0,0,0,0,6.919248E-12,0,0.4044915,0,0,0,0,0,1,5.525249E-06,0,0,1.901759E-14
2.048189,0.05563611,0,0,0,0,0.8662561,0,0.0539931,0,0,0,0,0,1,7.375318E-07,0,0,2.538542E-15
2.160931,0.009902032,0,0,0,0,0.154175,0,0.6672268,0,0,0,0,0,1,1.312648E-07,0,0,4.518058E-16
2.270088,0.001762349,0,0,0,0,0.3525376,0,0.166213,0,0,0,0,0,1,2.336232E-08,0,0,8.041172E-17
2.375575,0.1440637,0,0.09560288,0,0,0.06274411,0,0.2420823,0,0,0,0,0,1,4.157991E-09,0,0,5.180348E-07
2.488002,0.1025445,0,0,0,0,0.01116711,0,0.5310005,0,0,0,0,0,1,0.13125,0,0,3.885586E-07
2.604465,0.06746948,0,0,0,0,0.001987505,0,0.3359861,0,0,0,0,0,1,0.064888,0,0,4.53338E-19
2.713093,0.01601082,0,0,0,0,0.0004716442,0,0.07973109,0,0,0,0,0,1,0.4528545,0,0,1.161572E-07
2.823971,0.002849583,0,0,0,0,8.394253E-05,0,0.3955381,0,0,0,0,0,1,0.3687272,0,0,5.027294E-08
2.938169,0.3660345,0,0,0,0,1.493997E-05,0,0.2921502,0,0,0,0,0,1,0.08342338,0,0,2.052413E-08
3.049175,0.416782,0,0,0,0,2.658993E-06,0,0.4320257,0,0,0,0,0,1,0.01484757,0,0,6.065005E-22
3.163147,0.07417825,0,0,0,0,4.732437E-07,0,0.7345085,0,0,0,0,0,1,0.002642548,0,0,1.079441E-22
3.276233,0.1116396,0,0,0,0,0.4373688,0,0.1307267,0,0,0,0,0,1,0.1757983,0,0,1.921173E-23
3.391232,0.2486781,0,0,0,0,0.1371506,0,0.5571533,0,0,0,0,0,1,0.03128831,0,0,3.419274E-24
3.506836,0.8068022,0,0,0,0,0.02440986,0,0.09916131,0,0,0,0,0,1,0.005568647,0,0,6.730694E-09
3.621614,0.7155005,0,0,0,0,0.004344432,0,0.01764858,0,0,0,0,0,1,0.0009910995,0,0,1.083101E-25
3.739584,0.256372,0,0,0,0,0.0007732155,0,0.2018715,0,0,0,0,0,1,0.0001763944,0,0,1.500663E-09
3.850782,0.04562871,0,0,0,0,0.0001376158,0,0.0359288,0,0,0,0,0,1,3.139442E-05,0,0,3.430869E-27
3.963205,0.583536,0,0.261952,0,0,2.449265E-05,0,0.3352032,0,0,0,0,0,1,5.587532E-06,0,0,4.550956E-10
4.076599,0.13352,0,0.518031,0,0,4.359166E-06,0,0.0715242,0,0,0,0,0,1,9.944606E-07,0,0,0.762314
4.18584,0.02376368,0,0.278809,0,0,7.758379E-07,0,0.01272977,0,0,0,0,0,1,1.769926E-07,0,0,0.957286
4.296224,0.004229425,0,0.003165264,0,0,1.380825E-07,0,0.002265626,0,0,0,0,0,1,3.150089E-08,0,0,0.9919868
4.407066,0.4381652,0,0,0,0,2.61962E-08,0,0.0004032328,0,0,0,0,0,1,5.606482E-09,0,0,0.4203269
4.520088,0.8998411,0,0,0,0,1.719542E-08,0,7.176677E-05,0,0,0,0,0,1,9.978334E-10,0,0,0.07480916
4.641384,0.5764376,0,0,0,0,8.125123E-09,0,9.579708E-06,0,0,0,0,0,1,0.2734375,0,0,0.009985818
4.74488,0.4418695,0,0,0,0,1.385508E-10,0,2.27331E-06,0,0,0,0,0,1,0.3699661,0,0,0.002369681
4.851793,0.3074519,0,0,0,0,2.465906E-11,0,4.046002E-07,0,0,0,0,0,1,0.2946546,0,0,0.0004217524
4.962441,0.05471983,0,0,0,0,4.388782E-12,0,7.201014E-08,0,0,0,0,0,1,0.05244219,0,0,7.506287E-05
5.07069,0.009738954,0,0,0,0,7.811089E-13,0,1.281626E-08,0,0,0,0,0,1,0.009333583,0,0,1.335958E-05
5.18227,1.021482E-07,0,0,0,0,5.42874E-09,0,0,0,0,0,0,0,1,0,0,0,9.641909E-12
5.290089,4.426722E-08,0,0,0,0,2.352613E-09,0,0,0,0,0,0,0,1,0,0,0,4.178444E-12
5.40175,0.31926,0,0,0,0,7.804167E-10,0,0,0,0,0,0,0,1,0,0,0,0.01501567
5.504271,0.4883763,0,0,0,0,0.06745515,0,2.281018E-09,0,0,0,0,0,1,0.001661177,0,0,0.4372836
5.608366,0.000411326,0,0,0,0,3.299024E-14,0,5.412964E-10,0,0,0,0,0,1,0.0003942051,0,0,0.1828315
5.721749,7.320719E-05,0,0,0,0,0.1383862,0,9.633912E-11,0,0,0,0,0,1,7.016004E-05,0,0,0.03254008
5.833694,0.115638,0,0,0,0,0.02462978,0,0.4046875,0,0,0,0,0,1,1.248698E-05,0,0,0.249566
5.948506,0.1783936,0,0,0,0,0.004383571,0,0.4767132,0,0,0,0,0,1,0.04218972,0,0,0.04441738
6.060764,0.03175022,0,0,0,0,0.001123373,0,0.08484471,0,0,0,0,0,1,0.8294482,0,0,0.00790534
